# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr  6 04:04:34 2026
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,0,323.21000000000,0.06000000000,-0.05000000000,0,1.1780000000,0.0000000000,0.0000000000,0,12.20000000,,,0,1.09000000,,,0,4914.89848585,39.09289406,-39.72855088,0,15.46400000,0.12300000,-0.12500000,0,Msini,0.238000,0.007000,-0.007000,0,,,,,,,,,0,G8 III,4874.00,,,0,13.760000,2.850000,-2.450000,0,2.090000,0.640000,-0.630000,0,-0.2600,0.1000,-0.1000,0,[Fe/H],2.450000,0.080000,-0.080000,0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.18460000,1.92380000,-1.92380000,4.7230700,0.0230000,-0.0230000,2.2820000,0.3460000,-0.3460000,4.4403800,0.0038479,-0.0038479
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,516.21997000000,3.20000000000,-3.20000000000,0,1.5300000000,0.0700000000,-0.0700000000,0,12.30000000,,,0,1.09000000,,,0,4684.81420000,794.57500000,-794.57500000,0,14.74000000,2.50000000,-2.50000000,0,Msini,0.080000,0.030000,-0.030000,0,,,,,,,,,0,K4 III,4213.00,46.00,-46.00,0,29.790000,2.840000,-2.840000,0,2.780000,0.690000,-0.690000,0,-0.0200,,,0,[Fe/H],1.930000,0.070000,-0.070000,0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.32100000,1.97650000,-1.97650000,5.0130000,0.0050000,-0.0050000,1.9390000,0.2700000,-0.2700000,4.5621600,0.0039035,-0.0039035
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,186.76000000000,0.11000000000,-0.12000000000,0,0.7750000000,0.0000000000,0.0000000000,0,13.10000000,,,0,1.16000000,,,0,1131.15130051,36.23243840,-38.77506565,0,3.55900000,0.11400000,-0.12200000,0,Msini,0.000000,,,0,,,,,,,,,0,K0 III,4888.00,,,0,11.550000,1.120000,-0.510000,0,1.780000,0.430000,-0.290000,0,-0.2100,0.1000,-0.1000,0,[Fe/H],2.550000,0.060000,-0.070000,0,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.43920000,0.71400000,-0.71400000,5.2313300,0.0230000,-0.0230000,2.3310000,0.2400000,-0.2400000,4.9178100,0.0028262,-0.0028262
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1766.41000000000,0.67000000000,-0.68000000000,0,2.8390000000,0.0390000000,-0.0410000000,0,12.50000000,,,0,1.12000000,,,0,2828.67282230,413.17692910,-540.30829190,0,8.90000000,1.30000000,-1.70000000,0,Mass,0.368300,0.002900,-0.002900,0,,,,,,,,,0,K0,5338.00,25.00,-25.00,0,0.930000,0.010000,-0.010000,0,0.970000,0.040000,-0.040000,0,0.4300,0.0700,-0.0700,0,[Fe/H],4.450000,0.020000,-0.020000,0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000,0.00730000,-0.00730000,6.6193500,0.0230000,-0.0230000,4.7140000,0.0160000,-0.0160000,6.3830000,0.0003512,-0.0003512
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,798.50000000000,1.00000000000,-1.00000000000,0,1.6600000000,0.0300000000,-0.0300000000,0,13.50000000,,,0,1.20000000,,,0,565.73740000,25.42640000,-25.42640000,0,1.78000000,0.08000000,-0.08000000,0,Msini,0.680000,0.020000,-0.020000,0,,,,,,,,,0,G3 V,5750.00,8.00,-8.00,0,1.130000,0.010000,-0.010000,0,1.080000,0.040000,-0.040000,0,0.0600,,,0,[Fe/H],4.360000,0.010000,-0.010000,0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000,0.01100000,-0.01110000,6.2150000,0.0160000,-0.0160000,4.6510000,0.0160000,-0.0160000,6.0642800,0.0006029,-0.0006029
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,0,578.38000000000,2.01000000000,-2.09000000000,0,1.4500000000,0.0200000000,-0.0200000000,0,12.90000000,,,0,1.15000000,,,0,1373.01871824,47.67426105,-38.13940884,0,4.32000000,0.15000000,-0.12000000,0,Msini,0.060000,0.030000,-0.020000,0,,,,,,,,,0,K3 III,4157.00,11.00,-10.00,0,25.920000,0.780000,-0.740000,0,1.220000,0.130000,-0.140000,0,-0.0100,0.1000,-0.1000,0,[Fe/H],1.700000,0.040000,-0.060000,0,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.95300000,2.59000000,-2.59000000,5.2260600,0.0230000,-0.0230000,2.0940000,0.2440000,-0.2440000,4.7542900,0.0050550,-0.0050550
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,982.85000000000,1.06000000000,-0.92000000000,0,2.4760000000,0.0020000000,-0.0020000000,0,12.50000000,,,0,1.12000000,,,0,2926.24614325,50.85254512,-24.47278734,0,9.20700000,0.16000000,-0.07700000,0,Msini,0.024000,0.007000,-0.018000,0,,,,,,,,,0,G6 III,4980.00,,,0,8.800000,0.610000,-0.400000,0,2.100000,0.130000,-0.090000,0,-0.0600,0.1000,-0.1000,0,[Fe/H],2.870000,0.030000,-0.050000,0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.22200000,0.62170000,-0.62170000,5.5104800,0.0230000,-0.0230000,3.3660000,0.2040000,-0.2040000,5.2747600,0.0026539,-0.0026539
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,0,,,,,330.0000000000,,,0,18.64700000,,,0,1.66400000,,,0,3000.00000000,300.00000000,-300.00000000,0,8.00000000,1.00000000,-1.00000000,0,Mass,,,,,,,,,1700.00,100.00,-100.00,0,0,K7 V,4060.00,300.00,-200.00,0,1.313160,0.176833,-0.102363,0,0.850000,0.200000,-0.100000,0,,,,,,3.995920,0.142675,-0.100725,0,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.13500000,1.33200000,-1.30700000,12.6180000,0.0690000,-0.0690000,8.9160000,0.0210000,-0.0210000,12.0572000,0.0022750,-0.0022750
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,0,30.33000000000,0.00000000000,-0.01000000000,0,0.1940000000,0.0000000000,0.0000000000,0,13.90000000,,,0,1.24000000,,,0,280.64248338,11.44182265,-13.66662150,0,0.88300000,0.03600000,-0.04300000,0,Msini,0.032000,0.039000,-0.023000,0,,,,,,,,,0,G3 IV,4816.00,,,0,12.190000,1.450000,-1.280000,0,1.050000,0.270000,-0.180000,0,-0.7800,0.1000,-0.1000,0,[Fe/H],2.280000,0.090000,-0.070000,0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.98630000,0.63685000,-0.63685000,5.5900000,0.0010000,-0.0010000,3.1590000,0.2800000,-0.2800000,5.3339000,0.0019998,-0.0019998
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,452.80000000000,2.10000000000,-4.50000000000,0,1.3330000000,0.0040000000,-0.0090000000,0,13.40000000,,,0,1.19000000,,,0,632.46000000,82.63000000,-120.77000000,0,1.99000000,0.26000000,-0.38000000,0,Msini,0.090000,0.140000,-0.060000,0,,,,,,,,,0,K0 IV,5098.00,44.00,-44.00,0,4.900000,0.080000,-0.080000,0,1.540000,0.080000,-0.080000,0,-0.0300,0.0400,-0.0400,0,[Fe/H],3.500000,0.100000,-0.100000,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.06910000,0.68540000,-0.67280000,6.4535000,0.0230000,-0.0230000,4.2850000,0.0160000,-0.0160000,6.2037400,0.0004976,-0.0004976
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,883.00000000000,32.40000000000,-13.80000000000,0,2.0800000000,0.0500000000,-0.0200000000,0,13.90000000,,,0,1.24000000,,,0,273.32000000,111.24000000,-69.92000000,0,0.86000000,0.35000000,-0.22000000,0,Msini,0.290000,0.160000,-0.090000,0,,,,,,,,,0,K0 IV,5098.00,44.00,-44.00,0,4.900000,0.080000,-0.080000,0,1.540000,0.080000,-0.080000,0,-0.0300,0.0400,-0.0400,0,[Fe/H],3.500000,0.100000,-0.100000,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.06910000,0.68540000,-0.67280000,6.4535000,0.0230000,-0.0230000,4.2850000,0.0160000,-0.0160000,6.2037400,0.0004976,-0.0004976
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,0,,,,,118.0000000000,1.3000000000,-1.3000000000,0,13.00000000,,,0,1.16000000,,,0,1271.31362800,317.82840700,-317.82840700,0,4.00000000,1.00000000,-1.00000000,0,Mass,,,,,,,,,1450.00,50.00,-50.00,0,0,M V,3100.00,100.00,-100.00,0,0.840000,0.110000,-0.110000,0,0.170000,0.010000,-0.020000,0,0.0100,0.0500,-0.0500,0,[Fe/H],4.500000,0.500000,-0.500000,0,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.48400000,1.19600000,-1.17400000,16.1860000,1.1330000,-1.1330000,10.3860000,0.0180000,-0.0180000,14.3374000,0.0007720,-0.0007720
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,0,,,,,84.0000000000,,,0,12.30000000,,,0,1.10000000,,,0,4131.79000000,317.83000000,-317.83000000,0,13.00000000,1.00000000,-1.00000000,0,Mass,,,,,,,,,,,,,0,M5.5/M6,,,,,,,,,0.190000,0.020000,-0.020000,0,,,,,,,,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,47.20000000,3.10000000,-3.10000000,15.7880000,0.2750000,-0.2750000,9.2370010,0.0220000,-0.0220000,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,0,,,,,52.0000000000,6.0000000000,-6.0000000000,0,11.20900000,,,0,1.00000000,,,0,7786.50000000,794.50000000,-794.50000000,0,24.50000000,2.50000000,-2.50000000,0,Mass,,,,,,,,,1600.00,100.00,-100.00,0,0,M3.5 V,3530.00,50.00,-50.00,0,0.366450,0.011155,-0.011155,0,0.400000,0.050000,-0.050000,0,,,,,,4.858040,0.001333,-0.001333,0,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.82810000,0.08640000,-0.08600000,14.2440000,0.0740000,-0.0740000,9.1980000,0.0260000,-0.0260000,12.9025000,0.0011510,-0.0011510
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,0,,,,,156.0000000000,10.0000000000,-10.0000000000,0,16.14096000,0.33627000,-0.33627000,0,1.44000000,0.03000000,-0.03000000,0,4417.83700000,349.61300000,-349.61300000,0,13.90000000,1.10000000,-1.10000000,0,Mass,,,,,,,,,,,,,0,M6,3064.00,76.00,-76.00,0,0.281000,0.013000,-0.013000,0,0.108000,0.011000,-0.011000,0,,,,,,4.590000,0.060000,-0.060000,0,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,40.08964117,0.19404958,-0.19404958,,,,10.4040000,0.0250000,-0.0250000,15.0123000,0.0006240,-0.0006240
